layer_name,bit_position,auroc,fpr,detection_error,auroc_fi,fpr_fi,detection_error_fi
layer2.0.conv1,24,90.32,39.29,15.84,90.32,39.37,15.85
layer2.0.conv1,25,90.32,39.29,15.84,90.32,39.46,15.83
layer2.0.conv1,26,90.32,39.29,15.84,90.32,39.19,15.84
layer2.0.conv1,27,90.32,39.29,15.84,90.39,39.33,15.76
layer2.0.conv1,28,90.32,39.29,15.84,90.32,39.16,15.84
layer2.0.conv1,29,90.32,39.29,15.84,90.32,39.32,15.82
layer2.0.conv1,30,90.32,39.29,15.84,78.62,45.35,21.64
layer2.0.conv2,0,90.32,39.29,15.84,90.32,39.31,15.84
layer2.0.conv2,1,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv2,2,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv2,3,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv2,4,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv2,5,90.32,39.29,15.84,90.32,39.31,15.84
layer2.0.conv2,6,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv2,7,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv2,8,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv2,9,90.32,39.29,15.84,90.32,39.31,15.84
layer2.0.conv2,10,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv2,11,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv2,12,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv2,13,90.32,39.29,15.84,90.32,39.31,15.84
layer2.0.conv2,14,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv2,15,90.32,39.29,15.84,90.32,39.3,15.84
layer2.0.conv2,16,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv2,17,90.32,39.29,15.84,90.32,39.28,15.84
layer2.0.conv2,18,90.32,39.29,15.84,90.32,39.31,15.84
layer2.0.conv2,19,90.32,39.29,15.84,90.32,39.31,15.84
layer2.0.conv2,20,90.32,39.29,15.84,90.32,39.28,15.84
layer2.0.conv2,21,90.32,39.29,15.84,90.32,39.3,15.84
layer2.0.conv2,22,90.32,39.29,15.84,90.32,39.31,15.84
layer2.0.conv2,23,90.32,39.29,15.84,90.32,39.35,15.84
layer2.0.conv2,24,90.32,39.29,15.84,90.32,39.39,15.82
layer2.0.conv2,25,90.32,39.29,15.84,90.31,39.44,15.82
layer2.0.conv2,26,90.32,39.29,15.84,90.32,39.32,15.84
layer2.0.conv2,27,90.32,39.29,15.84,90.43,39.55,15.76
layer2.0.conv2,28,90.32,39.29,15.84,90.32,39.23,15.83
layer2.0.conv2,29,90.32,39.29,15.84,90.32,39.3,15.84
layer2.0.conv2,30,90.32,39.29,15.84,79.21,45.31,21.15
layer2.1.conv1,0,90.32,39.29,15.84,90.32,39.29,15.84
layer2.1.conv1,1,90.32,39.29,15.84,90.32,39.29,15.84
